"";"unidade";"N.pdv.basico";"pago.pdv.basico";"N.pdv.superior";"pago.pdv.superior";"N.pdv.tecnico";"pago.pdv.tecnico";"N.pdv";"pago.pdv";"N.nd.basico";"sal.nd.basico";"N.nd.tecnico";"sal.nd.tecnico";"N.nd.superior";"sal.nd.superior";"N.nd";"sal.nd";"N.clt.basico";"sal.clt.basico";"N.clt.tecnico";"sal.clt.tecnico";"N.clt.superior";"sal.clt.superior";"N.clt";"sal.clt";"N.clt.20.basico";"sal.clt.20.basico";"N.clt.20.tecnico";"sal.clt.20.tecnico";"N.clt.20.superior";"sal.clt.20.superior";"N.clt.20";"sal.clt.20"
"1";"CDCC";1;121905,01;1;281231,52;1;183351,37;3;586487,9;7;21935,06;15;93291,1;13;154728,68;35;269954,84;7;21935,06;15;93291,1;13;154728,68;35;269954,84;1;5351,85;6;46039,81;8;106724,29;15;158115,95
"2";"CEBIMar";0;0;0;0;1;202488,19;1;202488,19;16;53952,01;13;92006,94;7;79351,2;36;225310,15;16;53952,01;13;92006,94;7;79351,2;36;225310,15;3;15031,92;6;51792,84;2;32430,56;11;99255,32
"3";"CENA";2;252783,79;5;1873994,31;1;238847,82;8;2365625,92;25;110680,67;70;510166,91;34;449638,43;129;1070486,01;23;99010,78;69;501966,52;34;449638,43;126;1050615,73;10;51952,86;38;350689,52;21;326902,15;69;729544,53
"4";"CEPEUSP";11;1342411,36;5;1803247,77;5;959790,61;21;4105449,74;88;376738,94;38;312400,65;42;486649,54;168;1175789,13;88;376738,94;36;287495,8;41;466808,39;165;1131043,13;44;244024,83;25;231152,21;21;313660,55;90;788837,59
"5";"EACH";3;260634,06;1;367206,78;5;969904,09;9;1597744,93;58;178867,38;112;649173,88;34;332037,2;204;1160078,46;58;178867,38;112;649173,88;34;332037,2;204;1160078,46;9;46104,29;24;203033,58;6;99383,49;39;348521,36
"6";"ECA";3;337747,23;7;2147506,45;11;2035776,41;21;4521030,09;60;251250,09;145;1038828,94;48;589510,51;253;1879589,54;58;231564,74;136;909270,86;47;572371,73;241;1713207,33;21;108338,33;53;458687,85;22;332717,76;96;899743,94
"7";"EDUSP";5;962211,04;0;0;3;634237,85;8;1596448,89;30;184763,48;28;200773,47;13;163542,2;71;549079,15;30;184763,48;28;200773,47;12;145700,09;70;531237,04;18;128073,73;13;109966,33;3;51623,38;34;289663,44
"8";"EE";5;577394,26;7;2104495,09;7;1413150,97;19;4095040,32;39;142156,47;66;421394,66;34;335821,88;139;899373,01;39;142156,47;63;393610,77;34;335821,88;136;871589,12;12;62567,29;21;173335,72;6;90161,53;39;326064,54
"9";"EEFE";7;860383,01;3;1004677,89;2;442400,68;12;2307461,58;45;194016,14;42;296363,94;29;290987,46;116;781367,54;42;177121,99;42;296363,94;29;290987,46;113;764473,39;17;84059,69;17;151249,13;10;139306,3;44;374615,12
"10";"EEL";0;0;1;303843,84;1;10861,95;2;314705,79;84;139946,48;102;241689,55;86;249879,72;272;631515,75;84;139946,48;102;241689,55;86;249879,72;272;631515,75;1;4690,19;0;0;3;43250,41;4;47940,6
"11";"EERP";2;235456,42;0;0;3;591922,46;5;827378,88;26;107283,48;62;398079,67;37;373268,95;125;878632,1;25;103237,91;62;398079,67;37;373268,95;124;874586,53;12;56571,42;22;190391,02;7;110062,19;41;357024,63
"12";"EESC";3;366454,26;2;597844,73;6;1194223,6;11;2158522,59;70;283275,72;224;1666164,62;59;765278,56;353;2714718,9;65;251948,23;203;1462728,59;55;701685,48;323;2416362,3;29;145039,01;113;982155,17;30;457765,4;172;1584959,58
"13";"EP";17;1525948,51;11;3458301,74;13;2181859,65;41;7166109,9;173;651804,89;226;1571743,16;113;1384905,68;512;3608453,73;168;622033,54;215;1466402,84;113;1384905,68;496;3473342,06;61;289414,45;107;910458,3;66;952740,84;234;2152613,59
"14";"ESALQ";4;384119,48;3;993886,06;13;2623626,17;20;4001631,71;182;747641,72;281;2019298,6;80;971446,87;543;3738387,19;172;690896,71;266;1898136,9;80;971446,87;518;3560480,48;77;384542,3;179;1453717,84;47;650504,89;303;2488765,03
"15";"FAU";6;670911,35;5;1611667,88;19;3540666,87456017;30;5823246,10456017;43;175726,34;118;811493,95;35;428013,15;196;1415233,44;42;168197,8;114;777988,06;34;406597,49;190;1352783,35;16;74132,74;52;446995,73;24;314028,14;92;835156,61
"16";"FCF";8;895990,48;2;736593,85;10;1628208,65;20;3260792,98;50;221876,62;102;640680,62;37;429140,57;189;1291697,81;44;178103,87;99;613343,54;37;429140,57;180;1220587,98;20;97562,98;31;267166,98;17;251768,98;68;616498,94
"17";"FCFRP";3;304594,46;1;292563,9;4;597297,04;8;1194455,4;44;180138,17;122;716955,52;51;612593,61;217;1509687,3;44;180138,17;122;716955,52;51;612593,61;217;1509687,3;21;110705,1;35;295828,82;28;412310,36;84;818844,28
